1,Banana,110.0,0.35,110.0,27.0,0.0,1.0,100.0
1,Buckwheat,170.0,0.5,175.0,39.0,1.0,7.0,850.0
1,Chicken Breast,120.0,2.0,208.0,0.0,5.0,37.0,150.0
2,Apple,130.0,0.5,100.0,24.0,0.0,1.0,150.0
2,potato,1000.0,4.0,800.0,150.0,10.0,31.0,500.0
2,Salmon,110.0,2.5,100.0,0.0,4.0,15.0,330.0
2,Cake,100.0,1.0,200.0,35.0,10.0,0.0,100.0
3,Chicken Breast,120.0,2.0,208.0,0.0,5.0,37.0,240.0
3,Apple,130.0,0.5,100.0,24.0,0.0,1.0,100.0
4,Buckwheat,170.0,0.5,175.0,39.0,1.0,7.0,425.0
4,Banana,110.0,0.35,110.0,27.0,0.0,1.0,100.0
4,Cake,100.0,1.0,200.0,35.0,10.0,0.0,75.0
5,Cake,100.0,1.0,200.0,35.0,10.0,0.0,200.0
5,Banana,110.0,0.35,110.0,27.0,0.0,1.0,300.0
